film,datetime,sample,unique_id,characters,plot,setting,themes,overall
indiana-jones-and-the-dial-of-destiny,20240627-210153,1,6Kxa8zeg,93,85,67,68,78.25
indiana-jones-and-the-dial-of-destiny,20240627-211503,2,cM2cTJdc,88,82,60,40,67.5
indiana-jones-and-the-dial-of-destiny,20240627-212814,3,5xOMjQVW,68,85,62,0,53.75
indiana-jones-and-the-dial-of-destiny,20240627-214201,4,defgdEPi,100,86,56,67,77.25
indiana-jones-and-the-dial-of-destiny,20240627-215518,5,Pr8phOn2,78,80,50,78,71.5
indiana-jones-and-the-dial-of-destiny,20240627-220855,6,jwWKn7Oc,82,85,67,60,73.5
indiana-jones-and-the-dial-of-destiny,20240627-222227,7,uvzSkzaI,80,76,66,40,65.5
indiana-jones-and-the-dial-of-destiny,20240627-223541,8,LcLfI7fF,88,82,74,45,72.25
indiana-jones-and-the-dial-of-destiny,20240627-224909,9,LFF6nMCT,88,80,76,25,67.25
indiana-jones-and-the-dial-of-destiny,20240627-230246,10,rO9IsATk,85,87,64,77,78.25
indiana-jones-and-the-dial-of-destiny,20240627-231619,11,t1BcA88x,77,86,70,42,68.75
indiana-jones-and-the-dial-of-destiny,20240627-232935,12,D5tfjEBr,85,86,73,68,78.0
indiana-jones-and-the-dial-of-destiny,20240627-234246,13,74n9On6z,100,87,80,68,83.75
indiana-jones-and-the-dial-of-destiny,20240627-235613,14,d4YMAfcT,80,83,56,65,71.0
indiana-jones-and-the-dial-of-destiny,20240628-000922,15,6xWMXZUd,91,85,70,45,72.75
indiana-jones-and-the-dial-of-destiny,20240628-002229,16,WUNC75zZ,80,85,56,45,66.5
indiana-jones-and-the-dial-of-destiny,20240628-003529,17,mgikzwvG,87,84,81,35,71.75
indiana-jones-and-the-dial-of-destiny,20240628-004843,18,EwlimDrI,77,75,66,50,67.0
indiana-jones-and-the-dial-of-destiny,20240628-010202,19,oKXxxKBe,82,85,74,78,79.75
indiana-jones-and-the-dial-of-destiny,20240628-011519,20,OZfua8F2,82,82,66,30,65.0
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-210314,1,75uP8W6H,80,0,55,58,48.25
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-211631,2,2UwFeH97,85,0,56,40,45.25
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-212941,3,ArLVVL88,90,80,52,45,66.75
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-214323,4,PmjSX1Rq,85,80,52,40,64.25
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-215638,5,eYYsiXl4,94,60,50,50,63.5
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-221025,6,jGja1J9x,82,87,52,55,69.0
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-222356,7,OkEjS3sg,85,78,52,0,53.75
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-223708,8,xskdrkYV,85,65,32,40,55.5
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-225037,9,Wr9kSqOp,88,80,78,45,72.75
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-230410,10,QCCySqZF,85,84,64,0,58.25
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-231743,11,Vbd8MV48,89,0,66,45,50.0
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-233059,12,L65nEIt9,82,74,70,40,66.5
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-234414,13,OwtJwSyd,83,73,54,0,52.5
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-235737,14,HOstfcFe,90,0,60,25,43.75
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240628-001052,15,81Jd6xvk,85,0,56,55,49.0
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240628-002353,16,tpDgqmeL,82,67,55,58,65.5
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240628-003656,17,CsQaGI7O,85,80,66,0,57.75
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240628-005007,18,tV6VaF6n,85,0,55,55,48.75
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240628-010328,19,rftUH7dp,88,82,60,55,71.25
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240628-011651,20,uwqa8OYO,82,80,55,55,68.0
indiana-jones-and-the-last-crusade,20240627-210435,1,FAz62C8k,86,82,91,40,74.75
indiana-jones-and-the-last-crusade,20240627-211750,2,GCatiEYs,88,0,66,25,44.75
indiana-jones-and-the-last-crusade,20240627-213105,3,63QlQJQj,86,83,76,55,75.0
indiana-jones-and-the-last-crusade,20240627-214440,4,C1aGnaxv,93,80,85,67,81.25
indiana-jones-and-the-last-crusade,20240627-215756,5,usnMX0uN,88,83,75,0,61.5
indiana-jones-and-the-last-crusade,20240627-221148,6,0D8U4x6R,97,88,80,11,69.0
indiana-jones-and-the-last-crusade,20240627-222517,7,oM7hAmo5,88,80,82,45,73.75
indiana-jones-and-the-last-crusade,20240627-223830,8,xrOeaTPj,88,88,73,40,72.25
indiana-jones-and-the-last-crusade,20240627-225159,9,scgMG32Y,96,83,82,0,65.25
indiana-jones-and-the-last-crusade,20240627-230533,10,Q3ueDtNX,94,85,70,60,77.25
indiana-jones-and-the-last-crusade,20240627-231901,11,3S0Ad9Lc,88,83,76,40,71.75
indiana-jones-and-the-last-crusade,20240627-233220,12,zKz3kulV,92,83,80,0,63.75
indiana-jones-and-the-last-crusade,20240627-234536,13,RqYDaBk5,97,84,73,48,75.5
indiana-jones-and-the-last-crusade,20240627-235851,14,p6o7xg0M,95,85,72,67,79.75
indiana-jones-and-the-last-crusade,20240628-001207,15,ZVrVKXNG,88,80,70,60,74.5
indiana-jones-and-the-last-crusade,20240628-002511,16,rk1oyz7F,100,85,82,60,81.75
indiana-jones-and-the-last-crusade,20240628-003819,17,kKCmrKe1,85,83,85,30,70.75
indiana-jones-and-the-last-crusade,20240628-005124,18,ynenvKky,93,82,81,25,70.25
indiana-jones-and-the-last-crusade,20240628-010448,19,UGsk7lIf,88,88,76,68,80.0
indiana-jones-and-the-last-crusade,20240628-011811,20,qLFxeOpq,97,85,76,60,79.5
indiana-jones-and-the-temple-of-doom,20240627-210554,1,RkaGG0gm,93,0,74,55,55.5
indiana-jones-and-the-temple-of-doom,20240627-211910,2,ju9PXuQj,80,0,74,0,38.5
indiana-jones-and-the-temple-of-doom,20240627-213235,3,1eTOxoWz,82,75,75,68,75.0
indiana-jones-and-the-temple-of-doom,20240627-214601,4,hhOs6V7i,94,77,70,50,72.75
indiana-jones-and-the-temple-of-doom,20240627-215917,5,1oiCzSC3,85,82,76,0,60.75
indiana-jones-and-the-temple-of-doom,20240627-221305,6,RJmMiUaL,91,85,68,45,72.25
indiana-jones-and-the-temple-of-doom,20240627-222637,7,sLUvXMo2,82,80,66,0,57.0
indiana-jones-and-the-temple-of-doom,20240627-223955,8,Qsx186C8,91,80,80,67,79.5
indiana-jones-and-the-temple-of-doom,20240627-225319,9,IOsstJXN,82,80,72,40,68.5
indiana-jones-and-the-temple-of-doom,20240627-230700,10,zUQJixOl,88,81,80,50,74.75
