film,datetime,sample,unique_id,characters,plot,setting,themes,overall
the-mummy,20240627-211230,1,P4EPa2fO,85,68,74,50,69.25
the-mummy,20240627-212546,2,MQy8IaDN,86,0,76,25,46.75
the-mummy,20240627-213918,3,X7IoaAOH,85,80,74,40,69.75
the-mummy,20240627-215240,4,qGw1W7HC,86,83,74,65,77.0
the-mummy,20240627-220618,5,ibQzWvWT,85,83,80,40,72.0
the-mummy,20240627-221947,6,iCOeTE8J,82,78,74,0,58.5
the-mummy,20240627-223308,7,Q7XK1vlL,60,67,80,50,64.25
the-mummy,20240627-224632,8,7uQNtY1Y,85,73,74,0,58.0
the-mummy,20240627-225950,9,woEVSI85,77,79,74,38,67.0
the-mummy,20240627-231346,10,NE6RCrvu,82,78,80,45,71.25
the-mummy,20240627-232702,11,GfZrkwZU,80,78,75,0,58.25
the-mummy,20240627-234009,12,VSbzirB6,82,80,64,57,70.75
the-mummy,20240627-235338,13,dPqaKWxA,77,70,76,45,67.0
the-mummy,20240628-000643,14,n0ykpCtF,85,68,74,70,74.25
the-mummy,20240628-001945,15,IbR7CN2i,75,80,74,0,57.25
the-mummy,20240628-003249,16,4eMR8Cqb,83,80,72,60,73.75
the-mummy,20240628-004609,17,YmZ6vjfN,78,80,74,0,58.0
the-mummy,20240628-005923,18,Uv2scboX,70,70,74,0,53.5
the-mummy,20240628-011249,19,TYVMfXFB,80,78,70,48,69.0
the-mummy,20240628-012615,20,hTRfziM3,85,77,76,55,73.25
the-mummy,20240627-174603,1,P46jO9Iy,85,86,60,68,74.75
the-mummy,20240627-175928,2,5lyaz4Ce,85,70,74,45,68.5
the-mummy,20240627-181312,3,7mSP81ek,80,86,80,68,78.5
the-mummy,20240627-182702,4,XoFDqAAE,75,66,80,0,55.25
the-mummy,20240627-184048,5,7q8w4dJ1,82,80,76,67,76.25
the-mummy,20240627-185446,6,niKKoF6h,83,0,74,0,39.25
the-mummy,20240627-190815,7,e6uhbPIj,85,70,78,67,75.0
the-mummy,20240627-192140,8,pdjQy9y6,80,80,74,40,68.5
the-mummy,20240627-193504,9,2bkonxcp,80,82,75,67,76.0
the-mummy,20240627-194809,10,u4htsqgW,100,78,82,0,65.0
