film,datetime,sample,unique_id,characters,plot,setting,themes,overall
indiana-jones-and-the-dial-of-destiny,20240627-173455,1,UaL0fP8R,94,82,64,0,60.0
indiana-jones-and-the-dial-of-destiny,20240627-174847,2,Od2qL2Ul,88,87,64,0,59.75
indiana-jones-and-the-dial-of-destiny,20240627-180207,3,5J7ySqU3,95,86,70,67,79.5
indiana-jones-and-the-dial-of-destiny,20240627-181603,4,omCmO0n1,89,86,81,0,64.0
indiana-jones-and-the-dial-of-destiny,20240627-182940,5,aXFaKc0r,89,0,66,48,50.75
indiana-jones-and-the-dial-of-destiny,20240627-184329,6,ZUNYb7iQ,93,80,60,0,58.25
indiana-jones-and-the-dial-of-destiny,20240627-185725,7,I85WFpWN,71,86,56,55,67.0
indiana-jones-and-the-dial-of-destiny,20240627-191107,8,xlRcaHff,88,84,50,0,55.5
indiana-jones-and-the-dial-of-destiny,20240627-192423,9,vx2lAM9Y,88,86,73,0,61.75
indiana-jones-and-the-dial-of-destiny,20240627-193748,10,OI9wr2pH,100,85,73,45,75.75
