film,datetime,sample,unique_id,characters,plot,setting,themes,overall
indiana-jones-and-the-dial-of-destiny,20240627-173455,1,UaL0fP8R,94,82,64,0,60.0
indiana-jones-and-the-dial-of-destiny,20240627-174847,2,Od2qL2Ul,88,87,64,0,59.75
indiana-jones-and-the-dial-of-destiny,20240627-180207,3,5J7ySqU3,95,86,70,67,79.5
indiana-jones-and-the-dial-of-destiny,20240627-181603,4,omCmO0n1,89,86,81,0,64.0
indiana-jones-and-the-dial-of-destiny,20240627-182940,5,aXFaKc0r,89,0,66,48,50.75
indiana-jones-and-the-dial-of-destiny,20240627-184329,6,ZUNYb7iQ,93,80,60,0,58.25
indiana-jones-and-the-dial-of-destiny,20240627-185725,7,I85WFpWN,71,86,56,55,67.0
indiana-jones-and-the-dial-of-destiny,20240627-191107,8,xlRcaHff,88,84,50,0,55.5
indiana-jones-and-the-dial-of-destiny,20240627-192423,9,vx2lAM9Y,88,86,73,0,61.75
indiana-jones-and-the-dial-of-destiny,20240627-193748,10,OI9wr2pH,100,85,73,45,75.75
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-173632,1,iG9MneqB,85,0,52,0,34.25
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-175009,2,UR6gK1oV,85,0,56,55,49.0
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-180341,3,4lvxWBTU,85,79,64,40,67.0
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-181740,4,OC2SnxF8,81,75,50,48,63.5
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-183102,5,guzi5K06,88,0,52,55,48.75
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-184445,6,29yMrEh2,85,73,56,50,66.0
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-185849,7,TU00ywel,85,0,70,48,50.75
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-191232,8,A4ekLOBR,91,79,52,50,68.0
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-192546,9,fBcF9qdA,85,0,56,0,35.25
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-193914,10,WkZQ6Ro1,80,80,60,0,55.0
indiana-jones-and-the-last-crusade,20240627-173749,1,xhdE769x,90,85,76,25,69.0
indiana-jones-and-the-last-crusade,20240627-175123,2,Zxekp3oC,94,83,76,25,69.5
indiana-jones-and-the-last-crusade,20240627-180502,3,wb8Izy2f,92,85,84,55,79.0
indiana-jones-and-the-last-crusade,20240627-181858,4,75BVjDUZ,94,83,76,25,69.5
indiana-jones-and-the-last-crusade,20240627-183231,5,DcxjC33v,86,88,74,45,73.25
indiana-jones-and-the-last-crusade,20240627-184609,6,gA34xrqK,94,83,84,25,71.5
indiana-jones-and-the-last-crusade,20240627-190007,7,RDmB7IYP,85,80,80,40,71.25
indiana-jones-and-the-last-crusade,20240627-191349,8,AXXoTUFO,100,0,81,17,49.5
indiana-jones-and-the-last-crusade,20240627-192702,9,YgvTQY4l,96,83,76,50,76.25
indiana-jones-and-the-last-crusade,20240627-194031,10,aKTN5HpB,100,83,76,0,64.75
indiana-jones-and-the-temple-of-doom,20240627-173915,1,85qEiIt9,91,78,70,60,74.75
indiana-jones-and-the-temple-of-doom,20240627-175248,2,kmtipQXw,94,83,75,65,79.25
indiana-jones-and-the-temple-of-doom,20240627-180626,3,jzYXSo5w,88,80,84,55,76.75
indiana-jones-and-the-temple-of-doom,20240627-182023,4,455FGiw3,88,80,75,65,77.0
indiana-jones-and-the-temple-of-doom,20240627-183357,5,c3Mn1ipe,88,78,80,0,61.5
indiana-jones-and-the-temple-of-doom,20240627-184735,6,Phh8GdCn,88,0,76,30,48.5
indiana-jones-and-the-temple-of-doom,20240627-190126,7,fk5vEhDD,91,81,78,48,74.5
