film,datetime,sample,unique_id,characters,plot,setting,themes,overall
indiana-jones-and-the-last-crusade,20240627-173749,1,xhdE769x,90,85,76,25,69.0
indiana-jones-and-the-last-crusade,20240627-175123,2,Zxekp3oC,94,83,76,25,69.5
indiana-jones-and-the-last-crusade,20240627-180502,3,wb8Izy2f,92,85,84,55,79.0
indiana-jones-and-the-last-crusade,20240627-181858,4,75BVjDUZ,94,83,76,25,69.5
indiana-jones-and-the-last-crusade,20240627-183231,5,DcxjC33v,86,88,74,45,73.25
indiana-jones-and-the-last-crusade,20240627-184609,6,gA34xrqK,94,83,84,25,71.5
indiana-jones-and-the-last-crusade,20240627-190007,7,RDmB7IYP,85,80,80,40,71.25
indiana-jones-and-the-last-crusade,20240627-191349,8,AXXoTUFO,100,0,81,17,49.5
indiana-jones-and-the-last-crusade,20240627-192702,9,YgvTQY4l,96,83,76,50,76.25
indiana-jones-and-the-last-crusade,20240627-194031,10,aKTN5HpB,100,83,76,0,64.75
