film,datetime,sample,unique_id,characters,plot,setting,themes,overall
lara-croft-tomb-raider,20240627-174204,1,P7wMJmL0,77,73,60,75,71.25
lara-croft-tomb-raider,20240627-175536,2,Qj6BmSOl,80,82,48,0,52.5
lara-croft-tomb-raider,20240627-180903,3,yvDS52ao,83,85,44,40,63.0
lara-croft-tomb-raider,20240627-182304,4,AVR1mlhu,78,78,48,38,60.5
lara-croft-tomb-raider,20240627-183639,5,hkrMwLJG,74,85,40,65,66.0
lara-croft-tomb-raider,20240627-185024,6,zI4626G3,70,82,44,50,61.5
lara-croft-tomb-raider,20240627-190409,7,hzPrEKEX,70,86,40,25,55.25
lara-croft-tomb-raider,20240627-191745,8,KELqagA4,66,88,75,0,57.25
lara-croft-tomb-raider,20240627-193103,9,tYHg5UqM,85,73,60,68,71.5
lara-croft-tomb-raider,20240627-194419,10,RDSvzxrR,60,80,32,25,49.25
