film,datetime,sample,unique_id,characters,plot,setting,themes,overall
the-mummy,20240627-174603,1,P46jO9Iy,85,86,60,68,74.75
the-mummy,20240627-175928,2,5lyaz4Ce,85,70,74,45,68.5
the-mummy,20240627-181312,3,7mSP81ek,80,86,80,68,78.5
the-mummy,20240627-182702,4,XoFDqAAE,75,66,80,0,55.25
the-mummy,20240627-184048,5,7q8w4dJ1,82,80,76,67,76.25
the-mummy,20240627-185446,6,niKKoF6h,83,0,74,0,39.25
the-mummy,20240627-190815,7,e6uhbPIj,85,70,78,67,75.0
the-mummy,20240627-192140,8,pdjQy9y6,80,80,74,40,68.5
the-mummy,20240627-193504,9,2bkonxcp,80,82,75,67,76.0
the-mummy,20240627-194809,10,u4htsqgW,100,78,82,0,65.0
