model_name,test_film,version_number,name,similarity,rank
gpt4o,office-space,0,Indiana Jones and the Last Crusade,95,1
gpt4o,office-space,0,Indiana Jones and the Temple of Doom,93,2
gpt4o,office-space,0,The Mummy,85,3
gpt4o,office-space,0,National Treasure,80,4
gpt4o,office-space,0,Laura Croft Tomb Raider,75,5
gpt4o,office-space,0,Titanic,40,6
gpt4o,office-space,0,Office Space,20,7
gpt4o,office-space,0,La La Land,10,8
gpt4o,office-space,1,Indiana Jones and the Last Crusade,95,1
gpt4o,office-space,1,Indiana Jones and the Temple of Doom,92,2
gpt4o,office-space,1,The Mummy,85,3
gpt4o,office-space,1,National Treasure,80,4
gpt4o,office-space,1,Laura Croft Tomb Raider,75,5
gpt4o,office-space,1,Titanic,40,6
gpt4o,office-space,1,Office Space,15,7
gpt4o,office-space,1,La La Land,10,8
gpt4o,office-space,2,Indiana Jones and the Last Crusade,95,1
gpt4o,office-space,2,Indiana Jones and the Temple of Doom,90,2
gpt4o,office-space,2,The Mummy,85,3
gpt4o,office-space,2,National Treasure,80,4
gpt4o,office-space,2,Laura Croft Tomb Raider,75,5
gpt4o,office-space,2,Titanic,40,6
gpt4o,office-space,2,Office Space,20,7
gpt4o,office-space,2,La La Land,10,8
gpt4o,office-space,3,Indiana Jones and the Last Crusade,95,1
gpt4o,office-space,3,Indiana Jones and the Temple of Doom,93,2
gpt4o,office-space,3,The Mummy,85,3
gpt4o,office-space,3,National Treasure,80,4
gpt4o,office-space,3,Laura Croft Tomb Raider,75,5
gpt4o,office-space,3,Titanic,40,6
gpt4o,office-space,3,Office Space,20,7
gpt4o,office-space,3,La La Land,10,8
gpt4o,office-space,5,Indiana Jones and the Last Crusade,95,1
gpt4o,office-space,5,Indiana Jones and the Temple of Doom,90,2
gpt4o,office-space,5,The Mummy,85,3
gpt4o,office-space,5,National Treasure,80,4
gpt4o,office-space,5,Laura Croft Tomb Raider,75,5
gpt4o,office-space,5,Titanic,30,6
gpt4o,office-space,5,Office Space,10,7
gpt4o,office-space,5,La La Land,5,8
gpt4o,office-space,6,Indiana Jones and the Last Crusade,95,1
gpt4o,office-space,6,Indiana Jones and the Temple of Doom,93,2
gpt4o,office-space,6,The Mummy,85,3
gpt4o,office-space,6,National Treasure,80,4
gpt4o,office-space,6,Laura Croft Tomb Raider,75,5
gpt4o,office-space,6,Titanic,40,6
gpt4o,office-space,6,Office Space,20,7
gpt4o,office-space,6,La La Land,15,8
gpt4o,office-space,7,Indiana Jones and the Last Crusade,95,1
gpt4o,office-space,7,Indiana Jones and the Temple of Doom,92,2
gpt4o,office-space,7,The Mummy,85,3
gpt4o,office-space,7,National Treasure,80,4
gpt4o,office-space,7,Laura Croft Tomb Raider,75,5
gpt4o,office-space,7,Titanic,30,6
gpt4o,office-space,7,Office Space,10,7
gpt4o,office-space,7,La La Land,5,8
gpt4o,office-space,8,Indiana Jones and the Last Crusade,95,1
gpt4o,office-space,8,Indiana Jones and the Temple of Doom,92,2
gpt4o,office-space,8,The Mummy,85,3
gpt4o,office-space,8,National Treasure,80,4
gpt4o,office-space,8,Laura Croft Tomb Raider,75,5
gpt4o,office-space,8,Titanic,40,6
gpt4o,office-space,8,Office Space,10,7
gpt4o,office-space,8,La La Land,5,8
gpt4o,office-space,9,Indiana Jones and the Last Crusade,95,1
gpt4o,office-space,9,Indiana Jones and the Temple of Doom,90,2
gpt4o,office-space,9,The Mummy,85,3
gpt4o,office-space,9,National Treasure,80,4
gpt4o,office-space,9,Lara Croft: Tomb Raider,75,5
gpt4o,office-space,9,Titanic,30,6
gpt4o,office-space,9,La La Land,10,7
gpt4o,office-space,9,Office Space,5,8
