film,datetime,sample,unique_id,characters,plot,setting,themes,overall
indiana-jones-and-the-temple-of-doom,20240627-210554,1,RkaGG0gm,93,0,74,55,55.5
indiana-jones-and-the-temple-of-doom,20240627-211910,2,ju9PXuQj,80,0,74,0,38.5
indiana-jones-and-the-temple-of-doom,20240627-213235,3,1eTOxoWz,82,75,75,68,75.0
indiana-jones-and-the-temple-of-doom,20240627-214601,4,hhOs6V7i,94,77,70,50,72.75
indiana-jones-and-the-temple-of-doom,20240627-215917,5,1oiCzSC3,85,82,76,0,60.75
indiana-jones-and-the-temple-of-doom,20240627-221305,6,RJmMiUaL,91,85,68,45,72.25
indiana-jones-and-the-temple-of-doom,20240627-222637,7,sLUvXMo2,82,80,66,0,57.0
indiana-jones-and-the-temple-of-doom,20240627-223955,8,Qsx186C8,91,80,80,67,79.5
indiana-jones-and-the-temple-of-doom,20240627-225319,9,IOsstJXN,82,80,72,40,68.5
indiana-jones-and-the-temple-of-doom,20240627-230700,10,zUQJixOl,88,81,80,50,74.75
indiana-jones-and-the-temple-of-doom,20240627-232027,11,nbc3K7bS,78,0,80,0,39.5
indiana-jones-and-the-temple-of-doom,20240627-233338,12,Qi0UT3IT,85,0,82,0,41.75
indiana-jones-and-the-temple-of-doom,20240627-234702,13,YpsSwpwk,89,80,70,45,71.0
indiana-jones-and-the-temple-of-doom,20240628-000006,14,927fkj7I,88,84,70,50,73.0
indiana-jones-and-the-temple-of-doom,20240628-001326,15,SrkywZ5Z,85,0,75,68,57.0
indiana-jones-and-the-temple-of-doom,20240628-002630,16,bnCFYc7h,90,75,70,55,72.5
indiana-jones-and-the-temple-of-doom,20240628-003944,17,TWs3FzXi,88,78,76,68,77.5
indiana-jones-and-the-temple-of-doom,20240628-005245,18,CDKLaPy6,94,75,80,0,62.25
indiana-jones-and-the-temple-of-doom,20240628-010611,19,G0y9pI6R,88,82,80,45,73.75
indiana-jones-and-the-temple-of-doom,20240628-011943,20,GFNlYt44,87,80,68,55,72.5
