film,datetime,sample,unique_id,characters,plot,setting,themes,overall
office-space,20240627-211109,1,B2wBsQCO,50,45,22,23,35.0
office-space,20240627-212426,2,fVuzbykM,63,42,24,27,39.0
office-space,20240627-213759,3,wU89o2sZ,60,45,15,12,33.0
office-space,20240627-215122,4,HNpdRPAw,62,75,11,11,39.75
office-space,20240627-220443,5,Eqv31gJ5,60,63,28,25,44.0
office-space,20240627-221828,6,KCXIuXTi,60,47,28,40,43.75
office-space,20240627-223150,7,6HKB4vgY,50,63,15,8,34.0
office-space,20240627-224517,8,pbmwi2df,48,64,16,10,34.5
office-space,20240627-225830,9,rrS09YCm,53,46,20,10,32.25
office-space,20240627-231226,10,rBQMpjYX,60,63,16,40,44.75
office-space,20240627-232540,11,89NffaN8,55,60,20,40,43.75
office-space,20240627-233853,12,VXtTY8Bk,63,0,15,0,19.5
office-space,20240627-235221,13,RZFXLrXD,60,0,28,13,25.25
office-space,20240628-000524,14,DLqyB2eP,50,0,16,40,26.5
office-space,20240628-001830,15,Q2UhaWlX,62,0,16,0,19.5
office-space,20240628-003135,16,DOzpv6QF,63,60,11,11,36.25
office-space,20240628-004452,17,R4PXZi3Z,50,60,26,11,36.75
office-space,20240628-005810,18,VCsdX0Zw,70,45,28,11,38.5
office-space,20240628-011131,19,qzRZV46V,78,48,16,11,38.25
office-space,20240628-012458,20,aQNS5u0J,60,60,28,8,39.0
