film,datetime,sample,unique_id,characters,plot,setting,themes,overall
the-mummy,20240627-211230,1,P4EPa2fO,85,68,74,50,69.25
the-mummy,20240627-212546,2,MQy8IaDN,86,0,76,25,46.75
the-mummy,20240627-213918,3,X7IoaAOH,85,80,74,40,69.75
the-mummy,20240627-215240,4,qGw1W7HC,86,83,74,65,77.0
the-mummy,20240627-220618,5,ibQzWvWT,85,83,80,40,72.0
the-mummy,20240627-221947,6,iCOeTE8J,82,78,74,0,58.5
the-mummy,20240627-223308,7,Q7XK1vlL,60,67,80,50,64.25
the-mummy,20240627-224632,8,7uQNtY1Y,85,73,74,0,58.0
the-mummy,20240627-225950,9,woEVSI85,77,79,74,38,67.0
the-mummy,20240627-231346,10,NE6RCrvu,82,78,80,45,71.25
the-mummy,20240627-232702,11,GfZrkwZU,80,78,75,0,58.25
the-mummy,20240627-234009,12,VSbzirB6,82,80,64,57,70.75
the-mummy,20240627-235338,13,dPqaKWxA,77,70,76,45,67.0
the-mummy,20240628-000643,14,n0ykpCtF,85,68,74,70,74.25
the-mummy,20240628-001945,15,IbR7CN2i,75,80,74,0,57.25
the-mummy,20240628-003249,16,4eMR8Cqb,83,80,72,60,73.75
the-mummy,20240628-004609,17,YmZ6vjfN,78,80,74,0,58.0
the-mummy,20240628-005923,18,Uv2scboX,70,70,74,0,53.5
the-mummy,20240628-011249,19,TYVMfXFB,80,78,70,48,69.0
the-mummy,20240628-012615,20,hTRfziM3,85,77,76,55,73.25
