film,datetime,sample,unique_id,characters,plot,setting,themes,overall
indiana-jones-and-the-last-crusade,20240627-210435,1,FAz62C8k,86,82,91,40,74.75
indiana-jones-and-the-last-crusade,20240627-211750,2,GCatiEYs,88,0,66,25,44.75
indiana-jones-and-the-last-crusade,20240627-213105,3,63QlQJQj,86,83,76,55,75.0
indiana-jones-and-the-last-crusade,20240627-214440,4,C1aGnaxv,93,80,85,67,81.25
indiana-jones-and-the-last-crusade,20240627-215756,5,usnMX0uN,88,83,75,0,61.5
indiana-jones-and-the-last-crusade,20240627-221148,6,0D8U4x6R,97,88,80,11,69.0
indiana-jones-and-the-last-crusade,20240627-222517,7,oM7hAmo5,88,80,82,45,73.75
indiana-jones-and-the-last-crusade,20240627-223830,8,xrOeaTPj,88,88,73,40,72.25
indiana-jones-and-the-last-crusade,20240627-225159,9,scgMG32Y,96,83,82,0,65.25
indiana-jones-and-the-last-crusade,20240627-230533,10,Q3ueDtNX,94,85,70,60,77.25
