film,datetime,sample,unique_id,characters,plot,setting,themes,overall
indiana-jones-and-the-dial-of-destiny,20240627-210153,1,6Kxa8zeg,93,85,67,68,78.25
indiana-jones-and-the-dial-of-destiny,20240627-211503,2,cM2cTJdc,88,82,60,40,67.5
indiana-jones-and-the-dial-of-destiny,20240627-212814,3,5xOMjQVW,68,85,62,0,53.75
indiana-jones-and-the-dial-of-destiny,20240627-214201,4,defgdEPi,100,86,56,67,77.25
indiana-jones-and-the-dial-of-destiny,20240627-215518,5,Pr8phOn2,78,80,50,78,71.5
indiana-jones-and-the-dial-of-destiny,20240627-220855,6,jwWKn7Oc,82,85,67,60,73.5
indiana-jones-and-the-dial-of-destiny,20240627-222227,7,uvzSkzaI,80,76,66,40,65.5
indiana-jones-and-the-dial-of-destiny,20240627-223541,8,LcLfI7fF,88,82,74,45,72.25
indiana-jones-and-the-dial-of-destiny,20240627-224909,9,LFF6nMCT,88,80,76,25,67.25
indiana-jones-and-the-dial-of-destiny,20240627-230246,10,rO9IsATk,85,87,64,77,78.25
