film,datetime,sample,unique_id,characters,plot,setting,themes,overall
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-210314,1,75uP8W6H,80,0,55,58,48.25
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-211631,2,2UwFeH97,85,0,56,40,45.25
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-212941,3,ArLVVL88,90,80,52,45,66.75
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-214323,4,PmjSX1Rq,85,80,52,40,64.25
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-215638,5,eYYsiXl4,94,60,50,50,63.5
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-221025,6,jGja1J9x,82,87,52,55,69.0
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-222356,7,OkEjS3sg,85,78,52,0,53.75
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-223708,8,xskdrkYV,85,65,32,40,55.5
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-225037,9,Wr9kSqOp,88,80,78,45,72.75
indiana-jones-and-the-kingdom-of-the-crystal-skull,20240627-230410,10,QCCySqZF,85,84,64,0,58.25
