film,datetime,sample,unique_id,characters,plot,setting,themes,overall
national-treasure,20240627-210953,1,BU1q6crq,88,82,16,68,63.5
national-treasure,20240627-212301,2,dK2gobWU,88,78,36,65,66.75
national-treasure,20240627-213639,3,CmJcY40t,88,80,45,65,69.5
national-treasure,20240627-215004,4,G8DtBvOb,85,82,40,68,68.75
national-treasure,20240627-220321,5,vcfR2OfC,66,82,30,48,56.5
national-treasure,20240627-221711,6,GzN70gzY,75,80,22,65,60.5
national-treasure,20240627-223034,7,psMk6p29,89,83,22,0,48.5
national-treasure,20240627-224359,8,bMpyuyxR,83,75,40,65,65.75
national-treasure,20240627-225711,9,BAaI8RkC,75,73,21,68,59.25
national-treasure,20240627-231102,10,xoYd5U3Q,77,82,22,68,62.25
national-treasure,20240627-232420,11,84sYxtvp,70,75,21,68,58.5
national-treasure,20240627-233731,12,kTDtOCfR,83,78,40,45,61.5
national-treasure,20240627-235105,13,w4LUfgKR,89,80,25,0,48.5
national-treasure,20240628-000404,14,1TGayEdN,77,81,27,75,65.0
national-treasure,20240628-001714,15,0CPMyTU9,82,78,30,0,47.5
national-treasure,20240628-003019,16,fVhVR8N3,80,73,30,45,57.0
national-treasure,20240628-004332,17,HST2u65c,77,70,44,68,64.75
national-treasure,20240628-005646,18,Ar8PM9T7,82,86,36,68,68.0
national-treasure,20240628-011011,19,6xp9bCab,83,80,42,45,62.5
national-treasure,20240628-012343,20,lyhlstMZ,88,66,30,68,63.0
