reference_film,test_film,version_number,characters-overall,characters-backstory,characters-strengths,characters-weakness,characters-psychology,characters-beliefs,characters-motivations,characters-social_dynamics,plot-overall,plot-protagonist_introduction,plot-inciting_incident,plot-rising_action,plot-climax,plot-resolution,plot-consequences,plot-final_outcome,plot-loose_ends,plot-subplots,setting-overall,setting-time_period,setting-geographical_location,setting-cultural_context,setting-social_class,setting-ideology_and_beliefs,setting-economic_and_political_context,themes-overall,themes-main_theme,themes-secondary_themes,themes-tertiary_themes,themes-resolution_main_theme,themes-resolution_secondary_themes,themes-resolution_tertiary_themes
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,0,80,80,85,75,85,90,85,80,70,50,80,70,75,80,70,80,70,80,70,80,60,70,80,70,70,70,80,75,70,75.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,1,80,80,85,75,85,90,85,80,70,50,80,70,80,75,70,80,60,70,70,80,60,70,80,90,80,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,2,80,80,85,75,85,85,80,80,75,80,85,80,85,75,70,80,70,80,70,80,70,70,60,80,70,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,3,80,80,85,75,85,90,85,75,70,50,80,70,80,75,70,80,60,70,70,80,70,70,80,60,80,80,70,80,75,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,4,80,80,85,75,85,90,80,75,70,50,80,70,80,80,70,80,70,80,70,80,70,60,80,70,80,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,5,80,60,85,70,75,85,80,70,75,50,80,70,80,75,70,80,70,80,70,80,70,70,60,80,70,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,6,80,60,85,65,75,85,80,70,70,50,80,70,80,75,70,80,70,80,70,80,60,70,80,70,80,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,7,80,80,85,75,85,90,85,80,75,80,85,80,85,80,75,80,70,75,70,80,70,70,60,80,80,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,8,80,70,85,65,80,85,75,70,70,50,80,70,80,80,70,80,70,80,70,80,70,70,60,80,70,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,9,80,80,85,75,85,90,85,80,75,80,75,70,80,75,70,80,70,80,70,80,70,60,80,70,80,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,10,80,80,85,75,85,90,85,80,70,50,80,70,80,80,75,80,70,80,70,80,70,70,60,80,70,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,11,80,80,85,75,85,90,85,80,70,50,80,70,80,70,70,80,60,70,70,80,70,70,60,80,80,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,12,80,60,85,65,80,90,85,70,70,50,80,70,75,80,75,80,70,80,70,80,70,60,80,70,80,70,80,75,70,75.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,13,80,80,85,75,85,90,80,75,75,80,70,75,80,75,70,80,70,75,70,80,70,70,60,80,80,80,80,85,75,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,14,80,80,85,75,85,90,85,80,70,50,80,70,80,75,70,80,70,80,70,80,60,70,80,70,80,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,15,80,70,85,75,80,90,85,75,75,80,85,80,85,75,70,80,70,80,70,80,70,70,80,80,70,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,16,80,70,85,65,80,85,75,70,75,80,80,75,80,75,70,80,70,75,70,80,70,70,80,80,70,70,80,75,70,75.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,17,80,80,85,75,85,90,85,80,70,50,80,70,80,80,70,80,70,80,70,80,70,70,60,80,70,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,18,80,70,85,65,80,85,75,70,70,50,60,70,75,70,65,75,60,70,70,80,70,60,80,70,70,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,19,80,80,85,75,85,90,85,80,75,80,75,70,80,75,70,80,70,75,70,80,70,70,80,60,80,70,80,75,70,,80.0,75.0
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,20,80,80,85,75,85,90,85,80,75,80,85,80,85,75,80,80,70,85,70,80,60,70,80,90,80,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,21,80,80,85,75,85,90,85,80,70,50,80,70,80,75,70,80,60,70,70,80,70,70,80,60,80,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,22,80,60,85,70,80,85,75,70,70,50,80,70,75,80,70,80,70,80,70,80,70,70,60,80,70,70,80,75,70,75.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,23,80,80,85,75,85,90,85,75,70,50,80,70,75,80,70,80,70,80,70,80,60,70,80,90,80,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,24,80,80,85,75,85,90,85,75,70,50,60,70,80,75,70,80,60,80,70,80,60,70,80,90,80,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,indiana-jones-and-the-last-crusade_1989,25,80,80,85,75,85,90,85,80,75,80,85,80,85,75,70,80,70,75,70,80,60,70,80,80,90,70,80,75,70,,,
