reference_film,test_film,test_year,version_number,characters_similarity_overall,characters_role,characters_backstory,characters_strengths,characters_weakness,characters_psychology,characters_beliefs,characters_motivations,characters_social_dynamics,characters_arc,plot_similarity_overall,plot_protagonist_intro,plot_inciting_incident,plot_rising_action,plot_climax,plot_resolution,plot_consequences,plot_final_outcome,plot_loose_ends,plot_subplots,setting_similarity_overall,setting_time_period,setting_geographical_location,setting_cultural_context,setting_social_class,setting_ideology_and_beliefs,setting_economic_and_political_context,themes_similarity_overall,themes_main_theme,themes_secondary_themes,themes_tertiary_themes,themes_resolution_main_them,themes_resolution_secondary_themes,themes_resolution_tertiary_themes
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,90.0,80.0,85.0,75.0,85.0,90.0,90.0,80.0,85.0,80.0,90.0,70.0,80.0,75.0,85.0,85.0,55.0,40.0,60.0,30.0,70.0,80.0,50.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,1,71.0,100.0,50.0,75.0,50.0,75.0,50.0,75.0,75.0,75.0,83.0,80.0,70.0,75.0,85.0,90.0,85.0,90.0,80.0,85.0,85.0,90.0,80.0,85.0,75.0,90.0,90.0,40.0,40.0,30.0,20.0,50.0,60.0,40.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.0,80.0,90.0,85.0,75.0,85.0,80.0,90.0,70.0,90.0,64.0,80.0,60.0,50.0,70.0,60.0,70.0,60.0,40.0,60.0,50.0,70.0,80.0,60.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,85.0,75.0,80.0,90.0,85.0,80.0,85.0,70.0,75.0,75.0,90.0,70.0,80.0,60.0,70.0,80.0,60.0,40.0,60.0,50.0,70.0,80.0,60.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,4,88.0,100.0,80.0,90.0,70.0,100.0,100.0,90.0,80.0,90.0,86.0,85.0,90.0,80.0,85.0,90.0,85.0,90.0,80.0,85.0,78.0,90.0,80.0,70.0,60.0,80.0,90.0,60.0,40.0,60.0,50.0,70.0,80.0,75.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,5,80.0,100.0,80.0,90.0,60.0,70.0,90.0,80.0,70.0,90.0,89.0,90.0,80.0,85.0,95.0,90.0,90.0,95.0,85.0,90.0,76.0,80.0,60.0,70.0,75.0,85.0,90.0,45.0,50.0,30.0,20.0,70.0,40.0,60.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,82.0,80.0,90.0,85.0,75.0,70.0,85.0,90.0,80.0,85.0,80.0,90.0,70.0,80.0,75.0,85.0,90.0,40.0,40.0,30.0,20.0,60.0,50.0,40.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,7,80.0,100.0,80.0,90.0,70.0,70.0,90.0,80.0,60.0,90.0,85.0,90.0,85.0,80.0,75.0,85.0,85.0,90.0,80.0,90.0,85.0,90.0,80.0,85.0,75.0,90.0,85.0,68.0,50.0,70.0,60.0,80.0,75.0,70.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,8,88.0,100.0,80.0,100.0,60.0,90.0,100.0,100.0,90.0,90.0,88.0,90.0,85.0,80.0,95.0,90.0,85.0,90.0,85.0,90.0,85.0,90.0,80.0,85.0,90.0,80.0,85.0,68.0,50.0,70.0,60.0,80.0,75.0,70.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,9,66.0,100.0,50.0,75.0,50.0,50.0,75.0,75.0,50.0,75.0,88.0,80.0,90.0,85.0,95.0,90.0,85.0,95.0,80.0,90.0,80.0,90.0,70.0,80.0,85.0,75.0,90.0,50.0,60.0,40.0,30.0,70.0,50.0,60.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,10,87.0,100.0,80.0,90.0,70.0,95.0,90.0,85.0,85.0,90.0,80.0,80.0,70.0,75.0,85.0,90.0,85.0,90.0,80.0,0.0,72.0,80.0,70.0,60.0,75.0,70.0,85.0,57.0,50.0,60.0,40.0,70.0,65.0,55.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.0,90.0,85.0,80.0,85.0,90.0,85.0,90.0,85.0,90.0,84.0,90.0,70.0,80.0,85.0,90.0,85.0,30.0,40.0,20.0,10.0,60.0,30.0,20.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,12,90.0,100.0,90.0,100.0,70.0,100.0,100.0,100.0,80.0,90.0,83.0,80.0,90.0,85.0,75.0,85.0,80.0,90.0,70.0,85.0,84.0,90.0,80.0,85.0,75.0,90.0,90.0,60.0,50.0,60.0,40.0,70.0,80.0,60.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,13,83.0,100.0,80.0,100.0,60.0,100.0,80.0,80.0,80.0,80.0,86.0,80.0,90.0,85.0,85.0,90.0,85.0,90.0,80.0,90.0,80.0,90.0,70.0,80.0,75.0,85.0,90.0,68.0,60.0,70.0,50.0,80.0,75.0,65.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,80.0,90.0,100.0,90.0,100.0,70.0,90.0,82.0,80.0,90.0,70.0,80.0,90.0,80.0,68.0,60.0,70.0,50.0,80.0,75.0,65.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,80.0,90.0,85.0,75.0,85.0,85.0,90.0,80.0,90.0,76.0,80.0,60.0,70.0,75.0,85.0,90.0,57.0,50.0,60.0,40.0,70.0,65.0,55.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,16,70.0,100.0,50.0,75.0,50.0,50.0,75.0,75.0,75.0,75.0,85.0,100.0,100.0,80.0,70.0,90.0,90.0,80.0,70.0,90.0,84.0,90.0,80.0,70.0,90.0,80.0,90.0,40.0,40.0,60.0,30.0,20.0,50.0,40.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,17,93.0,100.0,80.0,100.0,80.0,100.0,100.0,100.0,90.0,100.0,83.0,80.0,90.0,85.0,75.0,85.0,80.0,90.0,70.0,85.0,76.0,90.0,70.0,80.0,60.0,70.0,90.0,60.0,50.0,60.0,40.0,70.0,80.0,60.0
raiders-of-the-lost-ark,indiana-jones-and-the-last-crusade,1989,18,94.0,100.0,80.0,100.0,90.0,100.0,100.0,100.0,90.0,100.0,87.0,90.0,85.0,80.0,85.0,90.0,85.0,90.0,85.0,90.0,75.0,90.0,70.0,80.0,60.0,70.0,80.0,40.0,30.0,40.0,20.0,50.0,60.0,40.0
