reference_film,test_film,version_number,characters,plot,setting,themes,overall
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,0,75,87,50,65,69.25
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,1,80,85,80,77,80.5
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,10,55,84,67,75,70.25
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,11,73,82,70,40,66.25
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,12,82,80,60,45,66.75
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,13,77,85,60,65,71.75
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,14,78,82,56,45,65.25
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,15,87,86,56,65,73.5
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,16,82,87,70,65,76.0
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,17,78,75,56,78,71.75
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,18,78,82,50,65,68.75
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,19,80,85,60,65,72.5
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,2,88,80,50,77,73.75
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,20,70,87,46,78,70.25
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,21,88,86,60,65,74.75
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,22,88,87,48,68,72.75
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,23,86,83,40,65,68.5
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,24,83,75,52,75,71.25
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,25,78,83,50,50,65.25
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,26,88,86,46,48,67.0
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,27,78,73,68,45,66.0
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,28,80,82,65,65,73.0
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,29,75,85,56,77,73.25
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,3,82,82,34,68,66.5
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,30,85,87,44,86,75.5
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,31,100,85,56,80,80.25
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,32,87,86,60,77,77.5
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,4,73,86,80,65,76.0
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,5,80,82,52,75,72.25
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,6,95,84,40,75,73.5
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,7,95,82,56,65,74.5
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,8,83,80,44,75,70.5
raiders-of-the-lost-ark,laura-croft-tomb-raider_2001,9,85,79,40,65,67.25
