reference_film,test_film,version_number,characters,plot,setting,themes,overall
raiders-of-the-lost-ark,national-treasure_2004,0,62,62,27,73,56.0
raiders-of-the-lost-ark,national-treasure_2004,1,66,80,40,68,63.5
raiders-of-the-lost-ark,national-treasure_2004,10,70,77,40,68,63.75
raiders-of-the-lost-ark,national-treasure_2004,11,60,60,22,65,51.75
raiders-of-the-lost-ark,national-treasure_2004,12,88,82,34,65,67.25
raiders-of-the-lost-ark,national-treasure_2004,13,63,78,30,48,54.75
raiders-of-the-lost-ark,national-treasure_2004,14,80,70,30,68,62.0
raiders-of-the-lost-ark,national-treasure_2004,15,73,79,28,68,62.0
raiders-of-the-lost-ark,national-treasure_2004,16,83,68,36,67,63.5
raiders-of-the-lost-ark,national-treasure_2004,17,66,80,23,68,59.25
raiders-of-the-lost-ark,national-treasure_2004,18,66,80,22,65,58.25
raiders-of-the-lost-ark,national-treasure_2004,19,77,82,30,48,59.25
raiders-of-the-lost-ark,national-treasure_2004,2,77,70,28,68,60.75
raiders-of-the-lost-ark,national-treasure_2004,20,85,82,30,68,66.25
raiders-of-the-lost-ark,national-treasure_2004,21,70,0,23,65,39.5
raiders-of-the-lost-ark,national-treasure_2004,22,70,80,20,65,58.75
raiders-of-the-lost-ark,national-treasure_2004,23,65,83,30,67,61.25
raiders-of-the-lost-ark,national-treasure_2004,24,63,85,40,68,64.0
raiders-of-the-lost-ark,national-treasure_2004,25,66,82,42,65,63.75
raiders-of-the-lost-ark,national-treasure_2004,26,66,80,42,75,65.75
raiders-of-the-lost-ark,national-treasure_2004,27,82,85,22,68,64.25
raiders-of-the-lost-ark,national-treasure_2004,28,66,80,34,68,62.0
raiders-of-the-lost-ark,national-treasure_2004,29,75,80,40,68,65.75
raiders-of-the-lost-ark,national-treasure_2004,3,82,77,30,65,63.5
raiders-of-the-lost-ark,national-treasure_2004,30,66,83,30,65,61.0
raiders-of-the-lost-ark,national-treasure_2004,31,75,83,32,68,64.5
raiders-of-the-lost-ark,national-treasure_2004,32,57,80,15,68,55.0
raiders-of-the-lost-ark,national-treasure_2004,4,83,82,25,75,66.25
raiders-of-the-lost-ark,national-treasure_2004,5,66,82,27,68,60.75
raiders-of-the-lost-ark,national-treasure_2004,6,56,85,30,68,59.75
raiders-of-the-lost-ark,national-treasure_2004,7,78,70,24,68,60.0
raiders-of-the-lost-ark,national-treasure_2004,8,63,83,40,68,63.5
raiders-of-the-lost-ark,national-treasure_2004,9,60,72,30,68,57.5
