reference_film,test_film,version_number,characters,plot,setting,themes,overall
raiders-of-the-lost-ark,office-space_1999,0,60,65,24,40,47.25
raiders-of-the-lost-ark,office-space_1999,1,63,65,24,25,44.25
raiders-of-the-lost-ark,office-space_1999,10,60,72,36,40,52.0
raiders-of-the-lost-ark,office-space_1999,11,52,68,22,48,47.5
raiders-of-the-lost-ark,office-space_1999,12,50,68,24,12,38.5
raiders-of-the-lost-ark,office-space_1999,13,56,57,24,12,37.25
raiders-of-the-lost-ark,office-space_1999,14,60,60,24,40,46.0
raiders-of-the-lost-ark,office-space_1999,15,55,50,28,12,36.25
raiders-of-the-lost-ark,office-space_1999,16,55,73,23,40,47.75
raiders-of-the-lost-ark,office-space_1999,17,52,70,24,25,42.75
raiders-of-the-lost-ark,office-space_1999,18,57,77,30,11,43.75
raiders-of-the-lost-ark,office-space_1999,19,50,72,24,11,39.25
raiders-of-the-lost-ark,office-space_1999,2,56,73,36,4,42.25
raiders-of-the-lost-ark,office-space_1999,20,60,64,20,15,39.75
raiders-of-the-lost-ark,office-space_1999,21,56,60,24,15,38.75
raiders-of-the-lost-ark,office-space_1999,22,63,66,24,40,48.25
raiders-of-the-lost-ark,office-space_1999,23,52,45,24,12,33.25
raiders-of-the-lost-ark,office-space_1999,24,52,57,28,60,49.25
raiders-of-the-lost-ark,office-space_1999,25,56,66,45,12,44.75
raiders-of-the-lost-ark,office-space_1999,26,56,62,24,50,48.0
raiders-of-the-lost-ark,office-space_1999,27,60,60,36,30,46.5
raiders-of-the-lost-ark,office-space_1999,28,55,70,20,11,39.0
raiders-of-the-lost-ark,office-space_1999,29,57,61,28,11,39.25
raiders-of-the-lost-ark,office-space_1999,3,53,63,44,20,45.0
raiders-of-the-lost-ark,office-space_1999,30,63,70,20,15,42.0
raiders-of-the-lost-ark,office-space_1999,31,53,60,24,40,44.25
raiders-of-the-lost-ark,office-space_1999,32,60,66,28,12,41.5
raiders-of-the-lost-ark,office-space_1999,4,62,63,30,12,41.75
raiders-of-the-lost-ark,office-space_1999,5,56,58,24,12,37.5
raiders-of-the-lost-ark,office-space_1999,6,55,60,28,25,42.0
raiders-of-the-lost-ark,office-space_1999,7,60,70,22,11,40.75
raiders-of-the-lost-ark,office-space_1999,8,62,63,45,10,45.0
raiders-of-the-lost-ark,office-space_1999,9,53,60,28,9,37.5
