reference_film,test_film,version_number,characters,plot,setting,themes,overall
raiders-of-the-lost-ark,la-la-land_2016,0,72,60,22,25,44.75
raiders-of-the-lost-ark,la-la-land_2016,1,57,62,22,11,38.0
raiders-of-the-lost-ark,la-la-land_2016,10,55,62,22,30,42.25
raiders-of-the-lost-ark,la-la-land_2016,11,66,62,22,25,43.75
raiders-of-the-lost-ark,la-la-land_2016,12,63,65,9,25,40.5
raiders-of-the-lost-ark,la-la-land_2016,13,63,70,16,11,40.0
raiders-of-the-lost-ark,la-la-land_2016,14,63,62,22,25,43.0
raiders-of-the-lost-ark,la-la-land_2016,15,70,66,16,25,44.25
raiders-of-the-lost-ark,la-la-land_2016,16,62,62,17,25,41.5
raiders-of-the-lost-ark,la-la-land_2016,17,70,60,16,28,43.5
raiders-of-the-lost-ark,la-la-land_2016,18,63,62,22,30,44.25
raiders-of-the-lost-ark,la-la-land_2016,19,57,61,16,25,39.75
raiders-of-the-lost-ark,la-la-land_2016,2,66,45,16,11,34.5
raiders-of-the-lost-ark,la-la-land_2016,20,65,63,22,40,47.5
raiders-of-the-lost-ark,la-la-land_2016,21,55,50,20,42,41.75
raiders-of-the-lost-ark,la-la-land_2016,22,70,61,11,25,41.75
raiders-of-the-lost-ark,la-la-land_2016,23,63,72,15,25,43.75
raiders-of-the-lost-ark,la-la-land_2016,24,65,63,16,12,39.0
raiders-of-the-lost-ark,la-la-land_2016,25,60,58,16,25,39.75
raiders-of-the-lost-ark,la-la-land_2016,26,67,61,16,25,42.25
raiders-of-the-lost-ark,la-la-land_2016,27,60,62,16,23,40.25
raiders-of-the-lost-ark,la-la-land_2016,28,66,62,15,48,47.75
raiders-of-the-lost-ark,la-la-land_2016,29,72,70,16,25,45.75
raiders-of-the-lost-ark,la-la-land_2016,3,64,62,15,15,39.0
raiders-of-the-lost-ark,la-la-land_2016,30,70,73,22,11,44.0
raiders-of-the-lost-ark,la-la-land_2016,31,60,57,22,25,41.0
raiders-of-the-lost-ark,la-la-land_2016,32,60,64,16,12,38.0
raiders-of-the-lost-ark,la-la-land_2016,4,60,45,16,25,36.5
raiders-of-the-lost-ark,la-la-land_2016,5,60,62,16,15,38.25
raiders-of-the-lost-ark,la-la-land_2016,6,63,56,9,15,35.75
raiders-of-the-lost-ark,la-la-land_2016,7,66,73,15,25,44.75
raiders-of-the-lost-ark,la-la-land_2016,8,63,60,16,35,43.5
raiders-of-the-lost-ark,la-la-land_2016,9,63,61,16,25,41.25
