reference_film,test_film,version_number,characters,plot,setting,themes,overall
raiders-of-the-lost-ark,the-mummy_1999,0,75,70,78,55,69.5
raiders-of-the-lost-ark,the-mummy_1999,1,60,70,80,48,64.5
raiders-of-the-lost-ark,the-mummy_1999,10,63,81,76,60,70.0
raiders-of-the-lost-ark,the-mummy_1999,11,70,0,75,48,48.25
raiders-of-the-lost-ark,the-mummy_1999,12,77,75,75,65,73.0
raiders-of-the-lost-ark,the-mummy_1999,13,65,85,76,68,73.5
raiders-of-the-lost-ark,the-mummy_1999,14,70,82,76,68,74.0
raiders-of-the-lost-ark,the-mummy_1999,15,50,68,76,40,58.5
raiders-of-the-lost-ark,the-mummy_1999,16,62,79,75,67,70.75
raiders-of-the-lost-ark,the-mummy_1999,17,77,80,76,48,70.25
raiders-of-the-lost-ark,the-mummy_1999,18,80,77,80,68,76.25
raiders-of-the-lost-ark,the-mummy_1999,19,60,77,74,48,64.75
raiders-of-the-lost-ark,the-mummy_1999,2,77,81,75,55,72.0
raiders-of-the-lost-ark,the-mummy_1999,20,77,77,75,67,74.0
raiders-of-the-lost-ark,the-mummy_1999,21,82,83,80,75,80.0
raiders-of-the-lost-ark,the-mummy_1999,22,75,86,76,67,76.0
raiders-of-the-lost-ark,the-mummy_1999,23,60,78,76,65,69.75
raiders-of-the-lost-ark,the-mummy_1999,24,60,80,76,68,71.0
raiders-of-the-lost-ark,the-mummy_1999,25,60,70,75,67,68.0
raiders-of-the-lost-ark,the-mummy_1999,26,85,80,75,68,77.0
raiders-of-the-lost-ark,the-mummy_1999,27,80,83,76,68,76.75
raiders-of-the-lost-ark,the-mummy_1999,28,60,70,70,25,56.25
raiders-of-the-lost-ark,the-mummy_1999,29,73,79,76,48,69.0
raiders-of-the-lost-ark,the-mummy_1999,3,57,80,81,68,71.5
raiders-of-the-lost-ark,the-mummy_1999,30,60,65,80,78,70.75
raiders-of-the-lost-ark,the-mummy_1999,31,60,70,81,48,64.75
raiders-of-the-lost-ark,the-mummy_1999,32,75,83,75,67,75.0
raiders-of-the-lost-ark,the-mummy_1999,4,66,81,75,48,67.5
raiders-of-the-lost-ark,the-mummy_1999,5,70,78,75,48,67.75
raiders-of-the-lost-ark,the-mummy_1999,6,62,78,74,48,65.5
raiders-of-the-lost-ark,the-mummy_1999,7,53,78,77,68,69.0
raiders-of-the-lost-ark,the-mummy_1999,8,75,82,80,65,75.5
raiders-of-the-lost-ark,the-mummy_1999,9,57,70,80,60,66.75
