reference_film,test_film,version_number,characters,plot,setting,themes,overall
raiders-of-the-lost-ark,titanic_1997,0,56,67,60,50,58.25
raiders-of-the-lost-ark,titanic_1997,1,63,70,45,27,51.25
raiders-of-the-lost-ark,titanic_1997,10,63,68,60,40,57.75
raiders-of-the-lost-ark,titanic_1997,11,40,68,56,23,46.75
raiders-of-the-lost-ark,titanic_1997,12,66,67,58,40,57.75
raiders-of-the-lost-ark,titanic_1997,13,63,0,52,25,35.0
raiders-of-the-lost-ark,titanic_1997,14,63,73,56,25,54.25
raiders-of-the-lost-ark,titanic_1997,15,63,66,46,34,52.25
raiders-of-the-lost-ark,titanic_1997,16,65,68,60,25,54.5
raiders-of-the-lost-ark,titanic_1997,17,62,60,46,30,49.5
raiders-of-the-lost-ark,titanic_1997,18,50,80,45,40,53.75
raiders-of-the-lost-ark,titanic_1997,19,45,70,56,22,48.25
raiders-of-the-lost-ark,titanic_1997,2,55,80,56,40,57.75
raiders-of-the-lost-ark,titanic_1997,20,60,68,50,22,50.0
raiders-of-the-lost-ark,titanic_1997,21,65,66,40,45,54.0
raiders-of-the-lost-ark,titanic_1997,22,45,80,45,40,52.5
raiders-of-the-lost-ark,titanic_1997,23,60,67,46,28,50.25
raiders-of-the-lost-ark,titanic_1997,24,50,73,38,45,51.5
raiders-of-the-lost-ark,titanic_1997,25,50,70,56,40,54.0
raiders-of-the-lost-ark,titanic_1997,26,52,65,60,25,50.5
raiders-of-the-lost-ark,titanic_1997,27,40,70,56,22,47.0
raiders-of-the-lost-ark,titanic_1997,28,63,70,56,23,53.0
raiders-of-the-lost-ark,titanic_1997,29,52,80,60,25,54.25
raiders-of-the-lost-ark,titanic_1997,3,30,70,52,35,46.75
raiders-of-the-lost-ark,titanic_1997,30,55,68,50,30,50.75
raiders-of-the-lost-ark,titanic_1997,31,55,70,30,42,49.25
raiders-of-the-lost-ark,titanic_1997,32,57,66,56,25,51.0
raiders-of-the-lost-ark,titanic_1997,4,28,60,36,40,41.0
raiders-of-the-lost-ark,titanic_1997,5,32,73,56,40,50.25
raiders-of-the-lost-ark,titanic_1997,6,65,68,60,30,55.75
raiders-of-the-lost-ark,titanic_1997,7,15,70,40,50,43.75
raiders-of-the-lost-ark,titanic_1997,8,63,68,58,25,53.5
raiders-of-the-lost-ark,titanic_1997,9,63,66,38,25,48.0
