reference_film,test_film,version_number,characters-overall,characters-backstory,characters-strengths,characters-weakness,characters-psychology,characters-beliefs,characters-motivations,characters-social_dynamics,plot-overall,plot-protagonist_introduction,plot-inciting_incident,plot-rising_action,plot-climax,plot-resolution,plot-consequences,plot-final_outcome,plot-loose_ends,plot-subplots,setting-overall,setting-time_period,setting-geographical_location,setting-cultural_context,setting-social_class,setting-ideology_and_beliefs,setting-economic_and_political_context,themes-overall,themes-main_theme,themes-secondary_themes,themes-tertiary_themes,themes-resolution_main_theme,themes-resolution_secondary_themes,themes-resolution_tertiary_themes
elements_raiders-of-the-lost-ark_1981,office-space_1999,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,90.0,80.0,85.0,75.0,85.0,90.0,90.0,80.0,85.0,80.0,90.0,70.0,80.0,75.0,85.0,85.0,55.0,40.0,60.0,30.0,70.0,80.0,50.0
elements_raiders-of-the-lost-ark_1981,office-space_1999,1,71.0,50.0,75.0,50.0,75.0,50.0,75.0,75.0,83.0,80.0,70.0,75.0,85.0,90.0,85.0,90.0,80.0,85.0,85.0,90.0,80.0,85.0,75.0,90.0,90.0,40.0,40.0,30.0,20.0,50.0,60.0,40.0
elements_raiders-of-the-lost-ark_1981,office-space_1999,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.0,80.0,90.0,85.0,75.0,85.0,80.0,90.0,70.0,90.0,64.0,80.0,60.0,50.0,70.0,60.0,70.0,60.0,40.0,60.0,50.0,70.0,80.0,60.0
elements_raiders-of-the-lost-ark_1981,office-space_1999,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,85.0,75.0,80.0,90.0,85.0,80.0,85.0,70.0,75.0,75.0,90.0,70.0,80.0,60.0,70.0,80.0,60.0,40.0,60.0,50.0,70.0,80.0,60.0
elements_raiders-of-the-lost-ark_1981,office-space_1999,4,88.0,80.0,90.0,70.0,100.0,100.0,90.0,80.0,86.0,85.0,90.0,80.0,85.0,90.0,85.0,90.0,80.0,85.0,78.0,90.0,80.0,70.0,60.0,80.0,90.0,60.0,40.0,60.0,50.0,70.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,office-space_1999,5,80.0,80.0,90.0,60.0,70.0,90.0,80.0,70.0,89.0,90.0,80.0,85.0,95.0,90.0,90.0,95.0,85.0,90.0,76.0,80.0,60.0,70.0,75.0,85.0,90.0,45.0,50.0,30.0,20.0,70.0,40.0,60.0
elements_raiders-of-the-lost-ark_1981,office-space_1999,6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,82.0,80.0,90.0,85.0,75.0,70.0,85.0,90.0,80.0,85.0,80.0,90.0,70.0,80.0,75.0,85.0,90.0,40.0,40.0,30.0,20.0,60.0,50.0,40.0
elements_raiders-of-the-lost-ark_1981,office-space_1999,7,80.0,80.0,90.0,70.0,70.0,90.0,80.0,60.0,85.0,90.0,85.0,80.0,75.0,85.0,85.0,90.0,80.0,90.0,85.0,90.0,80.0,85.0,75.0,90.0,85.0,68.0,50.0,70.0,60.0,80.0,75.0,70.0
elements_raiders-of-the-lost-ark_1981,office-space_1999,8,88.0,80.0,100.0,60.0,90.0,100.0,100.0,90.0,88.0,90.0,85.0,80.0,95.0,90.0,85.0,90.0,85.0,90.0,85.0,90.0,80.0,85.0,90.0,80.0,85.0,68.0,50.0,70.0,60.0,80.0,75.0,70.0
elements_raiders-of-the-lost-ark_1981,office-space_1999,9,66.0,50.0,75.0,50.0,50.0,75.0,75.0,50.0,88.0,80.0,90.0,85.0,95.0,90.0,85.0,95.0,80.0,90.0,80.0,90.0,70.0,80.0,85.0,75.0,90.0,50.0,60.0,40.0,30.0,70.0,50.0,60.0
