reference_film,test_film,version_number,feature_1_value,feature_1_description,feature_2_value,feature_2_description,feature_3_value,feature_3_description,feature_4_value,feature_4_description,similarity_overall
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom,0,75,Shared underlying beliefs and themes.,80,Character motivations driving the plot.,65,Interpersonal relationships and interactions.,70,Overall narrative structure and progression.,72
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom,1,60,Core belief in archaeology but with differing initial motivations.,50,Different initial motivations with eventual convergence towards altruism.,40,Different set of companions and relationship dynamics.,70,Similar adventurous arcs but with different thematic tones and specific goals.,55
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom,2,70,Beliefs of main characters and cultural elements.,85,Character motivations driving the narrative.,60,Interactions and relationships between characters.,75,Overall narrative structure and progression.,73
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom,3,80,Beliefs,75,Motivations,70,Social Dynamics,65,Arc,72
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom,4,70,Core values and ideologies driving the protagonist and antagonists.,80,Characters' drives and objectives throughout the narrative.,65,Interactions and relationships between characters.,75,The narrative progression and character development throughout the story.,72
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom,5,80,Core beliefs of main characters.,75,Primary motivations behind characters' actions.,70,Interactions and relationships between characters.,85,Narrative structure and character development.,78
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom,6,90,Central belief in the preservation of historical artifacts and respect for ancient curses.,80,"Driven by archaeological discovery, adventure, and protection of artifacts.",85,"Interactions with sidekicks, combining elements of romance, loyalty, and humor.",75,"Classic adventure structure with discovery, danger, and resolution.",82
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom,7,80,Indiana Jones's beliefs about archaeology and adventure.,70,The primary and secondary motivations of characters.,60,Interactions and relationships between characters.,75,Narrative structure and progression.,71
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom,8,85,The core values and beliefs that drive the protagonists and antagonists.,80,The underlying reasons and objectives of the characters’ actions.,75,The interactions and relationships between the characters.,90,The narrative structure and progression of the story.,83
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom,9,80,Central values and convictions of the main characters.,85,Driving forces behind characters' actions.,75,Interactions and relationships among characters.,90,Structure and progression of the plot.,82
