reference_film,test_film,version_number,characters-overall,characters-backstory,characters-strengths,characters-weakness,characters-psychology,characters-beliefs,characters-motivations,characters-social_dynamics,plot-overall,plot-protagonist_introduction,plot-inciting_incident,plot-rising_action,plot-climax,plot-resolution,plot-consequences,plot-final_outcome,plot-loose_ends,plot-subplots,setting-overall,setting-time_period,setting-geographical_location,setting-cultural_context,setting-social_class,setting-ideology_and_beliefs,setting-economic_and_political_context,themes-overall,themes-main_theme,themes-secondary_themes,themes-tertiary_themes,themes-resolution_main_theme,themes-resolution_secondary_themes,themes-resolution_tertiary_themes
elements_raiders-of-the-lost-ark_1981,titanic_1997,0,80,70,80,75,85,85,80,75,70,80,85,75,80,75,70,80,70,85,60,20,10,70,80,60,70,70,80,75,70,75.0,80.0,70.0
elements_raiders-of-the-lost-ark_1981,titanic_1997,1,80,70,80,75,85,85,80,75,70,80,75,70,80,75,70,80,70,80,60,20,10,70,80,60,70,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,titanic_1997,2,80,70,80,75,85,85,80,75,70,80,75,70,80,75,70,80,70,75,60,20,10,70,80,60,70,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,titanic_1997,3,80,70,80,75,85,85,80,75,70,80,85,75,80,70,75,80,70,85,60,20,10,70,80,60,70,70,80,75,70,75.0,80.0,70.0
elements_raiders-of-the-lost-ark_1981,titanic_1997,4,80,70,80,75,85,85,80,75,75,80,85,80,85,75,70,80,70,85,60,20,10,70,80,60,70,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,titanic_1997,5,80,70,75,65,80,85,75,70,70,80,85,75,80,75,70,80,70,85,40,10,10,50,70,60,40,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,titanic_1997,6,80,80,85,70,75,90,80,70,70,80,75,70,80,75,70,80,70,80,60,20,10,70,80,60,70,70,80,75,70,75.0,80.0,70.0
elements_raiders-of-the-lost-ark_1981,titanic_1997,7,80,70,80,75,85,85,80,75,70,80,85,75,80,75,70,80,70,85,60,10,10,70,90,60,50,70,80,75,70,,,
elements_raiders-of-the-lost-ark_1981,titanic_1997,8,80,70,80,75,85,85,80,75,70,80,90,80,85,75,70,80,70,85,60,20,10,70,80,60,50,70,80,75,70,75.0,80.0,70.0
elements_raiders-of-the-lost-ark_1981,titanic_1997,9,80,70,80,75,85,85,80,75,70,80,85,75,80,70,75,80,70,85,40,10,10,50,70,60,30,70,80,75,70,,,
