reference_film,test_film,version_number,characters-overall,characters-backstory,characters-strengths,characters-weakness,characters-psychology,characters-beliefs,characters-motivations,characters-social_dynamics,plot-overall,plot-protagonist_introduction,plot-inciting_incident,plot-rising_action,plot-climax,plot-resolution,plot-consequences,plot-final_outcome,plot-loose_ends,plot-subplots,setting-overall,setting-time_period,setting-geographical_location,setting-cultural_context,setting-social_class,setting-ideology_and_beliefs,setting-economic_and_political_context,themes-overall,themes-main_theme,themes-secondary_themes,themes-tertiary_themes,themes-resolution_main_theme,themes-resolution_secondary_themes,themes-resolution_tertiary_themes
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,0,80,70,85,75,80,85,80,75,70,80,75,70,80,75,70,80,70,80,40,10,30,40,50,40,40,80,90,85,75,85.0,80.0,70.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,1,80,80,85,75,80,85,85,75,70,80,75,70,80,75,70,80,70,75,40,10,30,50,60,40,40,80,90,85,75,85.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,2,80,70,85,75,85,90,85,80,70,80,75,70,80,75,70,80,70,80,40,10,30,40,50,40,40,80,90,85,75,,,
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,3,80,80,85,75,80,85,85,75,70,80,75,70,80,75,70,80,70,75,40,10,30,40,60,50,40,75,80,80,70,75.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,4,80,80,85,75,85,90,85,80,70,80,75,70,80,75,70,80,70,80,40,10,20,30,50,40,40,80,90,85,75,85.0,80.0,70.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,5,80,80,85,75,85,90,85,75,70,80,75,70,80,75,70,80,70,80,40,10,30,40,50,40,40,80,90,85,75,85.0,80.0,70.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,6,80,70,80,75,85,85,80,75,70,80,75,70,80,75,70,80,70,75,40,10,30,40,50,40,40,75,80,70,70,75.0,75.0,70.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,7,80,80,85,75,85,90,85,75,70,80,75,70,80,75,70,80,70,80,40,10,30,40,50,40,40,75,80,85,70,75.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,8,80,70,80,75,85,85,80,75,70,80,75,70,80,75,70,80,70,75,40,10,30,50,60,40,40,75,80,85,70,75.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,9,80,80,85,75,85,90,85,75,70,80,75,70,80,75,70,80,70,80,40,10,20,30,50,40,40,75,80,85,70,75.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,10,80,80,85,75,80,85,80,75,70,80,75,70,80,75,70,80,70,75,40,10,30,40,50,40,40,75,80,85,70,75.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,11,80,70,80,75,85,85,80,75,70,80,75,70,80,75,70,80,70,80,40,10,30,50,60,40,40,75,80,80,70,75.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,12,80,80,85,75,80,85,85,75,70,80,75,70,80,75,70,80,70,80,40,10,30,40,60,50,40,75,80,85,70,75.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,13,80,80,85,75,80,85,85,75,70,80,75,70,80,75,70,80,70,80,40,10,30,40,50,40,40,80,90,85,75,85.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,14,80,70,85,75,80,85,80,75,70,80,75,70,80,75,70,80,70,75,40,10,30,40,50,40,40,80,90,85,75,85.0,80.0,70.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,15,80,70,80,75,85,85,80,75,70,80,75,70,80,75,70,80,70,75,40,10,30,40,50,40,40,80,90,85,75,85.0,90.0,80.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,16,80,80,85,75,85,90,85,75,70,80,75,70,75,80,70,75,70,80,40,10,30,40,60,40,40,75,80,70,60,75.0,80.0,70.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,17,80,80,85,75,85,90,85,75,70,80,75,70,80,75,70,80,70,80,40,10,30,50,60,40,40,75,80,70,60,75.0,80.0,70.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,18,80,80,85,75,85,90,85,75,70,80,85,75,80,75,70,80,70,80,40,10,30,40,60,50,40,80,90,85,75,85.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,19,80,80,85,75,80,85,85,75,70,80,75,70,80,75,70,80,70,80,40,10,30,40,50,40,40,80,90,85,75,85.0,80.0,70.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,20,80,70,80,75,85,90,85,75,70,80,75,70,80,75,70,80,70,75,40,10,30,40,50,40,40,80,90,85,75,85.0,80.0,70.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,21,80,80,85,75,80,85,85,75,70,80,75,70,80,75,70,80,70,80,40,10,20,30,50,40,40,75,80,85,70,,,
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,22,80,70,85,75,80,85,80,75,70,80,75,70,80,75,70,80,70,80,40,10,30,40,50,40,40,80,90,85,75,85.0,80.0,70.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,23,80,80,85,75,85,90,85,75,70,80,75,70,80,75,70,80,70,80,40,10,30,40,50,40,40,75,80,85,70,75.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,24,80,80,85,75,80,85,85,75,70,80,75,70,80,75,70,80,70,80,40,10,30,40,70,50,40,80,90,85,75,85.0,80.0,70.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,25,80,80,85,75,80,85,80,75,70,80,75,70,80,75,70,80,70,80,40,10,30,40,50,40,40,80,90,85,75,,,
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,26,80,70,85,75,80,85,80,75,70,80,75,70,80,75,70,80,70,80,40,10,20,30,50,40,40,75,80,85,70,75.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,27,80,70,85,75,80,85,80,75,70,80,85,75,80,75,70,80,70,80,40,10,30,50,60,40,40,75,80,85,70,75.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,28,80,80,85,75,80,85,85,75,70,80,75,70,80,75,70,80,70,80,40,10,30,40,50,40,40,80,90,85,75,85.0,80.0,70.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,29,80,80,85,75,80,85,85,75,70,80,75,70,80,75,70,80,70,80,40,10,50,60,70,40,50,75,80,70,70,75.0,75.0,80.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,30,80,80,85,75,85,90,85,75,70,80,75,70,80,75,70,80,70,75,40,10,30,40,50,40,40,80,90,85,75,85.0,80.0,70.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,31,80,80,85,75,80,85,85,75,70,80,75,70,80,75,70,80,70,75,40,10,20,30,50,40,40,75,80,70,65,75.0,80.0,70.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,32,80,70,80,75,85,90,85,75,70,80,85,75,80,75,70,80,70,80,40,10,30,40,50,40,40,75,80,85,70,75.0,80.0,75.0
elements_raiders-of-the-lost-ark_1981,lara-croft-tomb-raider_2001,33,80,70,80,75,85,85,80,75,70,80,75,70,80,75,70,80,70,80,40,10,30,40,50,40,40,75,80,85,70,75.0,80.0,75.0
