reference_film,test_film,version_number,characters-overall,characters-backstory,characters-strengths,characters-weakness,characters-psychology,characters-beliefs,characters-motivations,characters-social_dynamics,plot-overall,plot-protagonist_introduction,plot-inciting_incident,plot-rising_action,plot-climax,plot-resolution,plot-consequences,plot-final_outcome,plot-loose_ends,plot-subplots,setting-overall,setting-time_period,setting-geographical_location,setting-cultural_context,setting-social_class,setting-ideology_and_beliefs,setting-economic_and_political_context,themes-overall,themes-main_theme,themes-secondary_themes,themes-tertiary_themes,themes-resolution_main_theme,themes-resolution_secondary_themes,themes-resolution_tertiary_themes
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,0,80,70,75,65,80,75,80,70,75,80,85,80,75,70,75,80,70,85,40,10,20,50,60,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,1,80,70,75,65,80,75,85,70,70,80,75,70,80,75,70,80,70,75,40,10,20,50,60,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,2,80,70,75,65,80,75,85,70,75,80,85,80,75,70,75,80,70,85,40,10,20,50,60,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,3,80,70,75,65,80,75,80,70,75,80,85,80,75,70,75,80,70,85,40,10,20,50,70,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,4,80,70,75,65,80,75,85,70,70,80,75,70,80,75,70,80,65,75,40,10,20,50,60,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,5,80,70,75,65,80,75,85,70,75,80,85,80,75,80,70,75,70,85,40,10,20,50,60,40,30,60,70,75,65,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,6,80,70,75,65,80,75,80,70,75,80,85,80,75,80,70,75,70,85,40,10,20,50,70,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,7,80,70,75,65,80,75,85,70,75,80,85,80,75,80,75,70,70,85,40,10,20,50,60,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,8,80,70,75,65,80,75,85,70,70,80,75,70,80,75,70,80,65,75,40,10,20,60,50,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,9,80,70,75,65,80,75,85,70,75,80,85,80,75,80,70,75,70,85,40,10,20,50,70,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,10,80,70,75,65,80,75,85,70,75,80,85,80,75,80,75,85,70,85,40,10,20,50,60,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,11,80,70,75,65,80,75,85,70,75,80,85,80,75,80,75,70,70,85,40,10,20,50,60,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,12,80,70,75,65,80,75,85,70,75,80,85,80,75,80,70,75,70,85,40,10,20,50,70,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,13,80,70,75,70,80,75,80,70,70,80,75,70,80,75,70,80,65,75,40,10,20,50,70,40,30,60,70,80,70,75.0,75.0,65.0
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,14,80,70,75,70,80,85,80,75,70,80,75,70,80,75,70,80,65,75,40,10,20,60,50,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,15,80,70,75,70,80,75,85,70,75,80,85,80,75,70,75,80,70,85,40,10,20,50,70,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,16,80,70,75,65,80,75,85,70,75,80,85,80,75,80,75,85,70,85,40,10,20,50,60,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,17,80,70,75,65,80,75,85,70,70,80,75,70,80,75,70,80,65,80,40,10,20,50,60,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,18,80,70,75,65,80,75,85,70,75,80,85,80,75,70,70,80,75,85,40,10,20,50,60,40,30,60,70,80,70,,75.0,65.0
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,19,80,70,75,65,80,75,85,70,75,80,85,80,75,80,75,85,70,85,40,10,20,50,60,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,20,80,70,75,65,80,85,75,70,75,80,85,80,75,80,75,85,70,85,40,10,20,50,70,40,30,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,la-la-land_2016,21,80,70,75,65,80,75,85,70,75,80,85,80,75,80,70,75,70,85,40,10,20,50,60,40,30,60,70,80,70,,75.0,70.0
