reference_film,test_film,version_number,characters-overall,characters-backstory,characters-strengths,characters-weaknesses,characters-psychology,characters-beliefs,characters-motivations,characters-social_dynamics,characters-arc,characters-role,characters-weakness,plot-overall,plot-protagonist_introduction,plot-inciting_incident,plot-rising_action,plot-climax,plot-resolution,plot-consequences,plot-final_outcome,plot-loose_ends,plot-subplots,setting-overall,setting-time_period,setting-geographical_location,setting-cultural_context,setting-social_class,setting-ideology_and_beliefs,setting-economic_and_political_context,themes-overall,themes-main_theme,themes-secondary_themes,themes-tertiary_themes,themes-resolution_main_theme,themes-resolution_secondary_themes,themes-resolution_tertiary_themes,characters-content,plot-content
raiders-of-the-lost-ark,national-treasure,0,85.0,75.0,85.0,70.0,80.0,90.0,80.0,75.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,national-treasure,1,85.0,75.0,85.0,70.0,85.0,90.0,80.0,75.0,85.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,national-treasure,2,85.0,75.0,85.0,70.0,80.0,90.0,80.0,75.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,national-treasure,3,85.0,80.0,90.0,71.25,85.0,90.0,80.0,75.0,85.0,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,national-treasure,4,80.0,70.0,85.0,75.0,80.0,90.0,85.0,75.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,national-treasure,average,84.0,75.0,86.0,71.25,82.0,90.0,81.0,75.0,85.0,90.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,national-treasure,0,85.0,75.0,85.0,70.0,80.0,90.0,80.0,75.0,85.0,,,75.0,80.0,85.0,75.0,70.0,65.0,60.0,70.0,65.0,70.0,80.0,50.0,70.0,60.0,65.0,55.0,60.0,85.0,90.0,80.0,75.0,85.0,80.0,75.0,,
raiders-of-the-lost-ark,national-treasure,1,85.0,75.0,85.0,70.0,85.0,90.0,80.0,75.0,85.0,90.0,,80.0,85.0,90.0,80.0,75.0,80.0,75.0,85.0,70.0,75.0,70.0,50.0,70.0,65.0,60.0,75.0,65.0,80.0,85.0,75.0,70.0,80.0,75.0,70.0,,
raiders-of-the-lost-ark,national-treasure,2,85.0,75.0,85.0,70.0,80.0,90.0,80.0,75.0,85.0,,,80.0,85.0,90.0,80.0,75.0,70.0,75.0,80.0,65.0,85.0,70.0,60.0,50.0,70.0,55.0,65.0,45.0,85.0,90.0,80.0,70.0,85.0,75.0,65.0,,
raiders-of-the-lost-ark,national-treasure,3,85.0,80.0,90.0,,85.0,90.0,80.0,75.0,85.0,,75.0,80.0,85.0,90.0,80.0,75.0,80.0,75.0,85.0,70.0,80.0,70.0,50.0,60.0,70.0,50.0,60.0,70.0,80.0,85.0,75.0,70.0,80.0,75.0,70.0,,
raiders-of-the-lost-ark,national-treasure,4,80.0,70.0,85.0,75.0,80.0,90.0,85.0,75.0,85.0,,,75.0,80.0,85.0,80.0,75.0,70.0,70.0,75.0,65.0,75.0,80.0,70.0,60.0,75.0,65.0,80.0,70.0,85.0,90.0,80.0,70.0,85.0,80.0,75.0,,
raiders-of-the-lost-ark,national-treasure,5,84.0,75.0,86.0,,82.0,90.0,81.0,75.0,85.0,,,78.0,83.0,88.0,79.0,74.0,73.0,71.0,79.0,67.0,77.0,75.0,70.0,65.0,80.0,60.0,85.0,70.0,80.0,85.0,75.0,70.0,80.0,75.0,70.0,empty,empty
raiders-of-the-lost-ark,national-treasure,6,84.0,75.0,86.0,,82.0,90.0,81.0,75.0,85.0,,,78.0,83.0,88.0,79.0,74.0,73.0,71.0,79.0,67.0,77.0,75.0,50.0,60.0,70.0,65.0,80.0,70.0,85.0,90.0,80.0,75.0,85.0,80.0,70.0,empty,empty
raiders-of-the-lost-ark,national-treasure,7,84.0,75.0,86.0,,82.0,90.0,81.0,75.0,85.0,,,78.0,83.0,88.0,79.0,74.0,73.0,71.0,79.0,67.0,77.0,75.0,60.0,70.0,65.0,50.0,60.0,55.0,85.0,90.0,80.0,70.0,85.0,75.0,70.0,empty,empty
raiders-of-the-lost-ark,national-treasure,8,84.0,75.0,86.0,,82.0,90.0,81.0,75.0,85.0,,,78.0,83.0,88.0,79.0,74.0,73.0,71.0,79.0,67.0,77.0,40.0,20.0,40.0,30.0,60.0,50.0,40.0,85.0,90.0,80.0,75.0,85.0,80.0,70.0,empty,empty
raiders-of-the-lost-ark,national-treasure,9,84.0,75.0,86.0,,82.0,90.0,81.0,75.0,85.0,,,78.0,83.0,88.0,79.0,74.0,73.0,71.0,79.0,67.0,77.0,70.0,60.0,50.0,70.0,65.0,75.0,70.0,85.0,90.0,80.0,75.0,85.0,80.0,75.0,empty,empty
raiders-of-the-lost-ark,national-treasure,average,84.0,75.0,86.0,71.25,82.0,90.0,81.0,75.0,85.0,90.0,75.0,78.0,83.0,88.0,79.0,74.0,73.0,71.0,79.0,67.0,77.0,70.5,54.0,59.5,65.5,59.5,68.5,61.5,83.5,88.5,78.5,72.0,83.5,77.5,71.0,,
