reference_film,test_film,version_number,characters-overall,characters-backstory,characters-strengths,characters-weakness,characters-psychology,characters-beliefs,characters-motivations,characters-social_dynamics,characters-arc,characters-weaknesses,characters-role,plot-overall,plot-protagonist_introduction,plot-inciting_incident,plot-rising_action,plot-climax,plot-resolution,plot-consequences,plot-final_outcome,plot-loose_ends,plot-subplots,setting-overall,setting-time_period,setting-geographical_location,setting-cultural_context,setting-social_class,setting-ideology_and_beliefs,setting-economic_and_political_context,themes-overall,themes-main_theme,themes-secondary_themes,themes-tertiary_themes,themes-resolution_main_theme,themes-resolution_secondary_themes,themes-resolution_tertiary_themes,plot-content,setting-content,themes-content,characters-content
raiders-of-the-lost-ark,office-space,0,30.0,20.0,25.0,30.0,35.0,20.0,30.0,40.0,35.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,office-space,1,45.0,30.0,40.0,,55.0,35.0,40.0,50.0,45.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,office-space,2,55.0,40.0,50.0,,45.0,50.0,55.0,50.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,office-space,3,60.0,50.0,65.0,,55.0,60.0,55.0,60.0,65.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,office-space,4,55.0,40.0,30.0,,50.0,35.0,45.0,50.0,55.0,60.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,office-space,average,49.0,36.0,42.0,30.0,48.0,40.0,45.0,50.0,52.0,60.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raiders-of-the-lost-ark,office-space,0,30.0,20.0,25.0,30.0,35.0,20.0,30.0,40.0,35.0,55.0,,50.0,40.0,60.0,50.0,55.0,50.0,45.0,50.0,40.0,55.0,30.0,10.0,20.0,30.0,40.0,50.0,30.0,55.0,50.0,45.0,60.0,65.0,50.0,55.0,,,,
raiders-of-the-lost-ark,office-space,1,45.0,30.0,40.0,,55.0,35.0,40.0,50.0,45.0,50.0,,45.0,50.0,40.0,55.0,45.0,50.0,50.0,50.0,40.0,45.0,30.0,10.0,20.0,30.0,40.0,30.0,20.0,55.0,50.0,60.0,45.0,50.0,55.0,40.0,,,,
raiders-of-the-lost-ark,office-space,2,55.0,40.0,50.0,,45.0,50.0,55.0,50.0,60.0,60.0,,45.0,30.0,50.0,40.0,35.0,50.0,40.0,45.0,35.0,50.0,40.0,30.0,20.0,50.0,40.0,50.0,40.0,40.0,30.0,45.0,35.0,40.0,50.0,30.0,,,,
raiders-of-the-lost-ark,office-space,3,60.0,50.0,65.0,,55.0,60.0,55.0,60.0,65.0,70.0,,40.0,30.0,40.0,50.0,35.0,45.0,40.0,50.0,30.0,45.0,35.0,10.0,20.0,30.0,40.0,25.0,30.0,45.0,40.0,50.0,55.0,35.0,45.0,50.0,,,,
raiders-of-the-lost-ark,office-space,4,55.0,40.0,30.0,,50.0,35.0,45.0,50.0,55.0,60.0,50.0,50.0,45.0,50.0,55.0,50.0,50.0,55.0,60.0,45.0,50.0,35.0,20.0,30.0,40.0,50.0,30.0,20.0,50.0,40.0,30.0,35.0,45.0,40.0,35.0,,,,
raiders-of-the-lost-ark,office-space,5,40.0,20.0,40.0,,35.0,30.0,40.0,35.0,50.0,50.0,30.0,46.0,39.0,48.0,50.0,44.0,49.0,46.0,51.0,38.0,49.0,34.0,16.0,22.0,36.0,42.0,37.0,28.0,49.0,42.0,46.0,46.0,47.0,48.0,42.0,empty,empty,empty,
raiders-of-the-lost-ark,office-space,6,55.0,30.0,50.0,,60.0,45.0,50.0,55.0,50.0,40.0,90.0,46.0,39.0,48.0,50.0,44.0,49.0,46.0,51.0,38.0,49.0,34.0,16.0,22.0,36.0,42.0,37.0,28.0,49.0,42.0,46.0,46.0,47.0,48.0,42.0,empty,empty,empty,
raiders-of-the-lost-ark,office-space,7,48.57142857142857,32.857142857142854,42.857142857142854,,47.857142857142854,39.285714285714285,45.0,48.57142857142857,51.42857142857143,55.0,,46.0,39.0,48.0,50.0,44.0,49.0,46.0,51.0,38.0,49.0,34.0,16.0,22.0,36.0,42.0,37.0,28.0,49.0,42.0,46.0,46.0,47.0,48.0,42.0,empty,empty,empty,empty
raiders-of-the-lost-ark,office-space,8,48.57142857142857,32.857142857142854,42.857142857142854,,47.857142857142854,39.285714285714285,45.0,48.57142857142857,51.42857142857143,55.0,,46.0,39.0,48.0,50.0,44.0,49.0,46.0,51.0,38.0,49.0,34.0,16.0,22.0,36.0,42.0,37.0,28.0,49.0,42.0,46.0,46.0,47.0,48.0,42.0,empty,empty,empty,empty
raiders-of-the-lost-ark,office-space,9,48.57142857142857,32.857142857142854,42.857142857142854,,47.857142857142854,39.285714285714285,45.0,48.57142857142857,51.42857142857143,55.0,,46.0,39.0,48.0,50.0,44.0,49.0,46.0,51.0,38.0,49.0,34.0,16.0,22.0,36.0,42.0,37.0,28.0,49.0,42.0,46.0,46.0,47.0,48.0,42.0,empty,empty,empty,empty
raiders-of-the-lost-ark,office-space,average,48.57142857142857,32.857142857142854,42.857142857142854,30.0,47.857142857142854,39.285714285714285,45.0,48.57142857142857,51.42857142857143,55.0,56.666666666666664,46.0,39.0,48.0,50.0,44.0,49.0,46.0,51.0,38.0,49.0,34.0,16.0,22.0,36.0,42.0,37.0,28.0,49.0,42.0,46.0,46.0,47.0,48.0,42.0,,,,
